,playerID,Name,AB,H,average,Empirical Bayes Estimate,alpha1,beta1,PEP,Cumulative Mean
4161,jacobba01,Baby Doll Jacobson,5507,1714,0.311240239695,0.308231550053,1831.98357784,4111.54678928,0.0841618213932,0.0173992606829
8911,vottojo01,Joey Votto,4501,1407,0.312597200622,0.308855533932,1524.98357784,3412.54678928,0.088487556705,0.0183730729572
516,beaumgi01,Ginger Beaumont,5660,1759,0.310777385159,0.307877344131,1876.98357784,4219.54678928,0.0908945586,0.0193530930335
6800,pikeli01,Lip Pike,1983,637,0.321230458901,0.312037239996,754.983577844,1664.54678928,0.0999913369745,0.0204282696193
4211,jennihu01,Hughie Jennings,4904,1527,0.311378466558,0.30801876682,1644.98357784,3695.54678928,0.101739376171,0.0214981526003
6442,ordonma01,Magglio Ordonez,6978,2156,0.308971051877,0.306692867282,2273.98357784,5140.54678928,0.105343574032,0.0225870541773
7313,robinja02,Jackie Robinson,4877,1518,0.311256920238,0.307890134207,1635.98357784,3677.54678928,0.105996840479,0.0236564104119
252,ashburi01,Richie Ashburn,8365,2574,0.307710699342,0.305854035101,2691.98357784,6109.54678928,0.116389325959,0.024830244786
5882,mitchda01,Dale Mitchell,3984,1244,0.312248995984,0.308104110759,1361.98357784,3058.54678928,0.121285633125,0.0260359371402
5521,mccosba01,Barney McCosky,4172,1301,0.31184084372,0.307903705695,1418.98357784,3189.54678928,0.122251095021,0.0272237785955
5908,molitpa01,Paul Molitor,10835,3319,0.306322104292,0.304926080656,3436.98357784,7834.54678928,0.127810605014,0.0284504472104
5767,meuseir01,Irish Meusel,4900,1521,0.310408163265,0.307125316468,1638.98357784,3697.54678928,0.129353470609,0.0296661462875
3480,hallge01,George Hall,1671,538,0.321962896469,0.311256999224,655.983577844,1451.54678928,0.131844524838,0.0308825555559
8646,tobinja01,Jack Tobin,6174,1906,0.308713961775,0.306175672063,2023.98357784,4586.54678928,0.137837069144,0.0321408439511
5604,mcinnst01,Stuffy McInnis,7822,2405,0.307466121197,0.305500308855,2522.98357784,5735.54678928,0.138796496846,0.0333810259615
5766,meusebo01,Bob Meusel,5475,1693,0.309223744292,0.306347674016,1810.98357784,4100.54678928,0.144753579289,0.0346611702526
6773,piazzmi01,Mike Piazza,6911,2127,0.307770221386,0.305542606246,2244.98357784,5102.54678928,0.151123346473,0.0359846040733
6992,radclri01,Rip Radcliff,4074,1267,0.310996563574,0.307055593271,1384.98357784,3125.54678928,0.152082211169,0.0372890715687
5430,mauerjo01,Joe Mauer,5919,1826,0.308498057104,0.305872754208,1943.98357784,4411.54678928,0.154763416472,0.0385943420677
5164,lyonsde01,Denny Lyons,4294,1333,0.310433162552,0.306727462935,1450.98357784,3279.54678928,0.157818833219,0.0399045013111
5422,mattido01,Don Mattingly,7003,2153,0.307439668713,0.305258996977,2270.98357784,5168.54678928,0.162335856442,0.0412352769103
0,aaronha01,Hank Aaron,12364,3771,0.304998382401,0.303814253496,3888.98357784,8911.54678928,0.174112458587,0.0426640638101
9396,wrighta01,Taffy Wright,3583,1115,0.311191738766,0.306748168376,1232.98357784,2786.54678928,0.176920535876,0.0440923241512
8318,stonejo01,John Stone,4494,1391,0.309523809524,0.306048937029,1508.98357784,3421.54678928,0.178509551871,0.0455072423377
